Case Status,Legislation,Case Reference,Received Date,Received FY,Received FY Month,Received Qtr,Completed Date,Completed FY,Completed Qtr,FY Completed Month,Sector,SubSector,Decision Primary Reason,Submitted About Account,Decision,Decision Detail1,Decision Detail2
Completed,Hybrid,IC-160331-S1B5,10/03/2022,2021/22,12-Mar,Q4,27/06/2022,2022/23,Q1,03-Jun,"Finance, insurance and credit",Accountancy and Payroll,Art 32 - Security of processing,Paystream Accounting Services Limited,No Further Action,No action,Insufficient information to proceed
Completed,Hybrid,IC-156065-T2F4,14/02/2022,2021/22,11-Feb,Q4,27/06/2022,2022/23,Q1,03-Jun,Local government,"Unitary Authority (London Borough, Mets and Councils in Scotland and Wales)",Art 15 - Right of access,Perth & Kinross Council,Informal action taken,Infringement,DP complaint resolved by org
Completed,Hybrid,IC-177645-M6G4,04/05/2022,2022/23,02-May,Q1,27/06/2022,2022/23,Q1,03-Jun,Justice,Police Commissioners,Art 15 - Right of access,Police and Crime Commissioner for Northumbria,Informal action taken,Infringement,More work for org - contacted to raise awareness of ind complaint
Completed,Hybrid,IC-161019-Y3P9,15/03/2022,2021/22,12-Mar,Q4,27/06/2022,2022/23,Q1,03-Jun,General business,Recruitment agencies,Art 17(1) - Right to erasure,Pro Contract Jobs Ltd,Informal action taken,Infringement,More work for org - failed to respond to ind complaint
Completed,Hybrid,IC-154447-G7C3,06/02/2022,2021/22,11-Feb,Q4,27/06/2022,2022/23,Q1,03-Jun,"Finance, insurance and credit",Financial services and advice,Art 32 - Security of processing,Prudential UK Services Limited,Informal action taken,Infringement,More work for org - unsatisfactory response to ind complaint
Completed,Hybrid,IC-161311-T0R7,18/03/2022,2021/22,12-Mar,Q4,27/06/2022,2022/23,Q1,03-Jun,Online Technology and Telecoms,Cyber security,Art 21(2) - Objection to direct marketing,Qualys Inc,Informal action taken,Infringement,More work for org - unsatisfactory response to ind complaint
Completed,Hybrid,IC-165850-V0X8,12/04/2022,2022/23,01-Apr,Q1,27/06/2022,2022/23,Q1,03-Jun,General business,Supplier of services,Art 5(1)(f) - Integrity and confidentiality principle,Rent Locally,No Further Action,No action,Insufficient information to proceed
Completed,Hybrid,IC-151390-W2V2,19/01/2022,2021/22,10-Jan,Q4,27/06/2022,2022/23,Q1,03-Jun,Retail and manufacture,Supplier of services,Art 21(1) - Objection to processing,ROOMZZZ LIMITED,Informal action taken,Potential infringement,DP complaint resolved by org
Completed,Hybrid,IC-171075-L9V8,13/05/2022,2022/23,02-May,Q1,27/06/2022,2022/23,Q1,03-Jun,Central Government,Government Department,Art 15 - Right of access,Secretary of State for the Home Department (Home Office),Informal action taken,Infringement,More work for org - failed to respond to ind complaint
Completed,Hybrid,IC-171330-D8D3,16/05/2022,2022/23,02-May,Q1,27/06/2022,2022/23,Q1,03-Jun,Central Government,Government Department,Art 15 - Right of access,Secretary of State for the Home Department (Home Office),Informal action taken,Infringement,More work for org - unsatisfactory response to ind complaint
Completed,Hybrid,IC-164522-F3Q5,04/04/2022,2022/23,01-Apr,Q1,27/06/2022,2022/23,Q1,03-Jun,Local government,District Council,Art 15 - Right of access,Sevenoaks District Council,Informal action taken,Infringement,More work for org - contacted to raise awareness of ind complaint
Completed,Hybrid,IC-160203-W3V2,10/03/2022,2021/22,12-Mar,Q4,27/06/2022,2022/23,Q1,03-Jun,Legal,Legal professionals,Art 15 - Right of access,Shakespeare Martineau Solicitors,No Further Action,No action,Insufficient information to proceed
Completed,Hybrid,IC-165911-L9T5,12/04/2022,2022/23,01-Apr,Q1,27/06/2022,2022/23,Q1,03-Jun,General business,Unassigned,Art 17 - Right to erasure,Studio,No Further Action,Not information rights,Not DP
Completed,Hybrid,IC-164130-W8M0,31/03/2022,2021/22,12-Mar,Q4,27/06/2022,2022/23,Q1,03-Jun,Local government,District Council,"Art 5(1)(a) - Lawfulness, fairness and transparency principle",Swale Borough Council,No Further Action,No infringement,No action
Completed,Hybrid,IC-163264-C0H0,26/03/2022,2021/22,12-Mar,Q4,27/06/2022,2022/23,Q1,03-Jun,Political,Political Party,Art 17 - Right to erasure,The Conservative Party,No Further Action,No action,Insufficient information to proceed
Completed,Hybrid,IC-176157-L0R1,14/03/2022,2021/22,12-Mar,Q4,27/06/2022,2022/23,Q1,03-Jun,Regulators,Regulatory Body,Art 15 - Right of access,The Financial Conduct Authority,Informal action taken,Infringement,More work for org - failed to respond to ind complaint
Completed,Hybrid,IC-157688-S3F7,23/02/2022,2021/22,11-Feb,Q4,27/06/2022,2022/23,Q1,03-Jun,Membership association,Clubs,Art 15(3)(1) - Provide a copy of the personal data,The Larne Football Social Club,Informal action taken,Potential infringement,More work for org - failed to respond to ind complaint
Case Officer Review Completed,Hybrid,IC-161951-R4P2,21/03/2022,2021/22,12-Mar,Q4,27/06/2022,2022/23,Q1,03-Jun,Legal,Legal professionals,Art 5(1)(f) - Integrity and confidentiality principle,TLT LLP,Informal action taken,Potential infringement,More work for org - unsatisfactory response to ind complaint
Review Completed,Hybrid,IC-134207-X4H7,11/10/2021,2021/22,07-Oct,Q3,27/06/2022,2022/23,Q1,03-Jun,General business,Supplier of services,Art 21 - Right to object,Trading 212 UK Limited,No Further Action,No infringement,No action
Completed,Hybrid,IC-163612-S3X4,30/03/2022,2021/22,12-Mar,Q4,27/06/2022,2022/23,Q1,03-Jun,"Finance, insurance and credit",Credit intermediaries,Art 16 - Right to rectification,TransUnion International UK Limited,Informal action taken,Infringement,More work for org - unsatisfactory response to ind complaint
Completed,Hybrid,IC-162634-M1Y1,23/03/2022,2021/22,12-Mar,Q4,27/06/2022,2022/23,Q1,03-Jun,General business,Unassigned,Art 21 - Right to object,Unable to Identify ,No Further Action,No action,Insufficient information to proceed
Completed,Hybrid,IC-165773-M6Q6,14/04/2022,2022/23,01-Apr,Q1,27/06/2022,2022/23,Q1,03-Jun,General business,Unassigned,Art 15(3)(1) - Provide a copy of the personal data,Unable to Identify ,No Further Action,No action,Insufficient information to proceed
Completed,Hybrid,IC-166765-Y5F0,19/04/2022,2022/23,01-Apr,Q1,27/06/2022,2022/23,Q1,03-Jun,Transport and leisure,Unassigned,Art 15(3)(1) - Provide a copy of the personal data,Videoslots Limited,No Further Action,No action,Insufficient information to proceed
Completed,Hybrid,IC-168487-T2K4,29/04/2022,2022/23,01-Apr,Q1,27/06/2022,2022/23,Q1,03-Jun,Online Technology and Telecoms,Service providers,Art 5(1)(d) - Accuracy principle,Virgin Media Limited,No Further Action,No action,Insufficient information to proceed
Completed,Hybrid,IC-163011-C0M2,25/03/2022,2021/22,12-Mar,Q4,27/06/2022,2022/23,Q1,03-Jun,Retail and manufacture,Supplier of services,Art 15(3)(1) - Provide a copy of the personal data,Vue Entertainment,Informal action taken,Infringement,More work for org - unsatisfactory response to ind complaint
Completed,Hybrid,IC-162975-B9J3,25/03/2022,2021/22,12-Mar,Q4,27/06/2022,2022/23,Q1,03-Jun,Land or property services,Building and property construction,Art 15 - Right of access,Wainhomes (North West) Limited,No Further Action,No action,Insufficient information to proceed
Completed,Hybrid,IC-163041-T7W7,21/03/2022,2021/22,12-Mar,Q4,27/06/2022,2022/23,Q1,03-Jun,Local government,"Unitary Authority (London Borough, Mets and Councils in Scotland and Wales)",Art 15(3)(1) - Provide a copy of the personal data,Walsall Metropolitan Borough Council,No Further Action,No infringement,No action
Completed,Hybrid,IC-158387-G8N3,28/02/2022,2021/22,11-Feb,Q4,28/06/2022,2022/23,Q1,03-Jun,Health,Dentists,Art 17 - Right to erasure,Anon DC,No Further Action,No action,Insufficient information to proceed
Case Officer Review Completed,Hybrid,IC-152126-M3B6,24/01/2022,2021/22,10-Jan,Q4,28/06/2022,2022/23,Q1,03-Jun,Retail and manufacture,Supplier of goods,Art 15 - Right of access,Appliance Electronics (Uk) Ltd,Informal action taken,Potential infringement,More work for org - contacted to raise awareness of ind complaint
Completed,Hybrid,IC-164808-Y2Z4,06/04/2022,2022/23,01-Apr,Q1,28/06/2022,2022/23,Q1,03-Jun,Retail and manufacture,Supplier of goods,Prt 3 - S35(1) - Fair and lawful processing ,Arbonne UK Limited,No Further Action,No action,Insufficient information to proceed
Completed,Hybrid,IC-167656-J9F1,26/04/2022,2022/23,01-Apr,Q1,28/06/2022,2022/23,Q1,03-Jun,"Finance, insurance and credit",Insurance,"Art 5(1)(a) - Lawfulness, fairness and transparency principle",AWP Assistance UK Ltd,Informal action taken,Potential infringement,More work for org - unsatisfactory response to ind complaint
Completed,Hybrid,IC-160478-K0W4,11/03/2022,2021/22,12-Mar,Q4,28/06/2022,2022/23,Q1,03-Jun,"Finance, insurance and credit",Banks and Building Societies,Art 15(3)(1) - Provide a copy of the personal data,Bank of Scotland PLC,No Further Action,No action,Insufficient information to proceed
Completed,Hybrid,IC-163036-K5L4,25/03/2022,2021/22,12-Mar,Q4,28/06/2022,2022/23,Q1,03-Jun,Retail and manufacture,Supplier of goods,Art 17 - Right to erasure,Bankbond,Informal action taken,Potential infringement,More work for org - failed to respond to ind complaint
Completed,Hybrid,IC-161952-B9M3,21/03/2022,2021/22,12-Mar,Q4,28/06/2022,2022/23,Q1,03-Jun,"Finance, insurance and credit",Banks and Building Societies,Unassigned,Barclaycard,No Further Action,No action,Insufficient information to proceed
Completed,Hybrid,IC-160558-D2V3,12/03/2022,2021/22,12-Mar,Q4,28/06/2022,2022/23,Q1,03-Jun,"Finance, insurance and credit",Banks and Building Societies,Unassigned,Barclays Bank PLC,No Further Action,No action,Insufficient information to proceed
Completed,Hybrid,IC-161975-H5B1,21/03/2022,2021/22,12-Mar,Q4,28/06/2022,2022/23,Q1,03-Jun,"Finance, insurance and credit",Banks and Building Societies,Art 5(1)(f) - Integrity and confidentiality principle,Barclays Partner Finance,No Further Action,No action,Insufficient information to proceed
Review Completed,Hybrid,IC-150788-H8L3,17/01/2022,2021/22,10-Jan,Q4,28/06/2022,2022/23,Q1,03-Jun,Health,Secondary care,Art 15(3)(1) - Provide a copy of the personal data,Barts Health NHS Trust,Informal action taken,Infringement,More work for org - failed to respond to ind complaint
Completed,Hybrid,IC-167563-P6Y3,25/04/2022,2022/23,01-Apr,Q1,28/06/2022,2022/23,Q1,03-Jun,Health,Secondary care,Art 5(1)(f) - Integrity and confidentiality principle,Belfast Health & Social Care Trust,Informal action taken,Infringement,More work for org - contacted to raise awareness of ind complaint
Completed,Hybrid,IC-165325-R5T9,09/04/2022,2022/23,01-Apr,Q1,28/06/2022,2022/23,Q1,03-Jun,Health,Dentists,Art 15(3)(1) - Provide a copy of the personal data,Bhandal Dental Practice ,No Further Action,No action,Insufficient information to proceed
Completed,Hybrid,IC-161071-H4S5,14/03/2022,2021/22,12-Mar,Q4,28/06/2022,2022/23,Q1,03-Jun,"Finance, insurance and credit",Lenders,Art 15(3)(1) - Provide a copy of the personal data,Black Horse Ltd,No Further Action,No action,Insufficient information to proceed
Completed,Hybrid,IC-160685-T7V5,14/03/2022,2021/22,12-Mar,Q4,28/06/2022,2022/23,Q1,03-Jun,"Finance, insurance and credit",Lenders,Art 15(3)(1) - Provide a copy of the personal data,Black Horse Ltd,No Further Action,No action,Insufficient information to proceed
Completed,Hybrid,IC-165233-Q1F3,08/04/2022,2022/23,01-Apr,Q1,28/06/2022,2022/23,Q1,03-Jun,Land or property services,Building and property construction,Art 15(3)(1) - Provide a copy of the personal data,Bloor Homes Ltd ,Informal action taken,Infringement,More work for org - contacted to raise awareness of ind complaint
Completed,Hybrid,IC-165186-H3V8,06/04/2022,2022/23,01-Apr,Q1,28/06/2022,2022/23,Q1,03-Jun,Retail and manufacture,Unassigned,Art 21(2) - Objection to direct marketing,BrandAlley UK Limited,No Further Action,No action,Insufficient information to proceed
Completed,Hybrid,IC-163399-B1S9,29/03/2022,2021/22,12-Mar,Q4,28/06/2022,2022/23,Q1,03-Jun,"Finance, insurance and credit",Accountancy and Payroll,Art 32 - Security of processing,Brookson Financial Limited,Informal action taken,Infringement,More work for org - unsatisfactory response to ind complaint
Completed,Hybrid,IC-165047-D5D3,07/04/2022,2022/23,01-Apr,Q1,28/06/2022,2022/23,Q1,03-Jun,Local government,County Council,Art 32 - Security of processing,Cambridgeshire County Council,Informal action taken,Infringement,More work for org - contacted to raise awareness of ind complaint
Completed,Hybrid,IC-155957-Y8D7,15/02/2022,2021/22,11-Feb,Q4,28/06/2022,2022/23,Q1,03-Jun,Health,Secondary care,Art 14 - Right to be informed,Camden & Islington NHS Foundation Trust,No Further Action,No action,Insufficient information to proceed
Completed,Hybrid,IC-165371-C6C1,09/04/2022,2022/23,01-Apr,Q1,28/06/2022,2022/23,Q1,03-Jun,Land or property services,Property management,Art 6 - Lawfulness of processing,Cartrefi Conwy,No Further Action,No infringement,No action
Completed,Hybrid,IC-162788-B0L9,24/03/2022,2021/22,12-Mar,Q4,28/06/2022,2022/23,Q1,03-Jun,Justice,Police Forces,Art 15(3)(1) - Provide a copy of the personal data,Chief Constable Cambridgeshire Constabulary,No Further Action,Not information rights,No action
Case Officer Review Completed,Hybrid,IC-144083-L3C1,03/12/2021,2021/22,09-Dec,Q3,28/06/2022,2022/23,Q1,03-Jun,Justice,Police Forces,Art 15 - Right of access,Chief Constable Essex Police,No Further Action,No infringement,No action
Completed,Hybrid,IC-164688-M7Q1,05/04/2022,2022/23,01-Apr,Q1,28/06/2022,2022/23,Q1,03-Jun,Central Government,Non-departmental public body,Art 32 - Security of processing,Children and Family Court Advisory and Support Service (CAFCASS),No Further Action,No action,Insufficient information to proceed
Completed,Hybrid,IC-162409-R5F1,22/03/2022,2021/22,12-Mar,Q4,28/06/2022,2022/23,Q1,03-Jun,Retail and manufacture,Supplier of goods,Art 15(3)(1) - Provide a copy of the personal data,Continental Clothing Company Ltd,No Further Action,No action,Insufficient information to proceed
Case Officer Review Completed,Hybrid,IC-160503-C1L5,11/03/2022,2021/22,12-Mar,Q4,28/06/2022,2022/23,Q1,03-Jun,Legal,Court Advocate,Art 15(3)(1) - Provide a copy of the personal data,Crown Office and Procurator Fiscal Service,Informal action taken,Infringement,More work for org - failed to respond to ind complaint
Review Completed,Hybrid,IC-160966-R4B1,09/03/2022,2021/22,12-Mar,Q4,28/06/2022,2022/23,Q1,03-Jun,Central Government,Government Department,Art 15(3)(1) - Provide a copy of the personal data,Crown Prosecution Service,Informal action taken,Potential infringement,More work for org - failed to respond to ind complaint
Completed,Hybrid,IC-162879-Z3D1,25/03/2022,2021/22,12-Mar,Q4,28/06/2022,2022/23,Q1,03-Jun,Retail and manufacture,Supplier of goods,Art 15 - Right of access,Currys Group Limited,Informal action taken,Infringement,More work for org - contacted to raise awareness of ind complaint
Case Officer Review Completed,Hybrid,IC-151977-F0J4,24/01/2022,2021/22,10-Jan,Q4,28/06/2022,2022/23,Q1,03-Jun,Online Technology and Telecoms,Service providers,Art 17(1) - Right to erasure,Cyberghost  VPN,Informal action taken,Infringement,More work for org - failed to respond to ind complaint
Completed,Hybrid,IC-159879-G4V2,08/03/2022,2021/22,12-Mar,Q4,28/06/2022,2022/23,Q1,03-Jun,Central Government,Government Department,Art 14 - Right to be informed,Department for Work and Pensions (DWP),No Further Action,No action,Insufficient information to proceed
Case Officer Review Completed,Hybrid,IC-80806-F4G1,22/07/2019,2019/20,04-Jul,Q2,28/06/2022,2022/23,Q1,03-Jun,Central Government,Executive agencies,Art 6(1)(c) - Legal obligation,Driver and Vehicle Licensing Agency (DVLA),Informal action taken,Infringement,More work for org - contacted to raise awareness of ind complaint
Case Officer Review Completed,Hybrid,IC-159051-C6T4,03/03/2022,2021/22,12-Mar,Q4,28/06/2022,2022/23,Q1,03-Jun,Local government,"Unitary Authority (London Borough, Mets and Councils in Scotland and Wales)",Art 15(3)(1) - Provide a copy of the personal data,East Lothian Council,No Further Action,No action,Insufficient information to proceed
Completed,Hybrid,IC-162660-Z3Z9,23/03/2022,2021/22,12-Mar,Q4,28/06/2022,2022/23,Q1,03-Jun,Retail and manufacture,Supplier of goods,Art 5(1)(f) - Integrity and confidentiality principle,Eg Group Limited,Informal action taken,Potential infringement,More work for org - unsatisfactory response to ind complaint
Completed,Hybrid,IC-167797-N5J7,27/04/2022,2022/23,01-Apr,Q1,28/06/2022,2022/23,Q1,03-Jun,"Finance, insurance and credit",Insurance,Art 15 - Right of access,Extracover Limited T/A Zego,No Further Action,No action,Insufficient information to proceed
Completed,Hybrid,IC-155469-Q3F3,14/02/2022,2021/22,11-Feb,Q4,28/06/2022,2022/23,Q1,03-Jun,Online Technology and Telecoms,Social media,Art 15 - Right of access,Facebook UK Ltd,No Further Action,No action,Insufficient information to proceed
Completed,Hybrid,IC-156561-G2D3,17/02/2022,2021/22,11-Feb,Q4,28/06/2022,2022/23,Q1,03-Jun,Online Technology and Telecoms,Social media,Art 5(1)(f) - Integrity and confidentiality principle,Facebook UK Ltd,No Further Action,No action,Insufficient information to proceed
Case Officer Review Completed,Hybrid,IC-154746-M5Q1,08/02/2022,2021/22,11-Feb,Q4,28/06/2022,2022/23,Q1,03-Jun,Retail and manufacture,Supplier of goods,Art 15(3)(1) - Provide a copy of the personal data,FENGRAIN LIMITED,Informal action taken,Potential infringement,More work for org - failed to respond to ind complaint
Completed,Hybrid,IC-163006-B7Z7,25/03/2022,2021/22,12-Mar,Q4,28/06/2022,2022/23,Q1,03-Jun,Transport and leisure,Bar and restaurant,Art 15(1)(g) - Source of personal data,Five Guys Jv Limited,Informal action taken,Infringement,More work for org - failed to respond to ind complaint
Case Officer Review Completed,Hybrid,IC-157256-N0B7,21/02/2022,2021/22,11-Feb,Q4,28/06/2022,2022/23,Q1,03-Jun,Education and childcare,Academy and Free Schools,Art 15 - Right of access,Fleetdown Primary School,No Further Action,No infringement,No action
Completed,Hybrid,IC-163066-G1R2,26/03/2022,2021/22,12-Mar,Q4,28/06/2022,2022/23,Q1,03-Jun,General business,Supplier of services,Art 15(3)(1) - Provide a copy of the personal data,Future Publishing Limited,Informal action taken,Infringement,More work for org - failed to respond to ind complaint
Completed,Hybrid,IC-164501-N6V2,04/04/2022,2022/23,01-Apr,Q1,28/06/2022,2022/23,Q1,03-Jun,General business,Supplier of services,Prt 3 - S35(1) - Fair and lawful processing ,Gecko Digital Limited,No Further Action,No action,Insufficient information to proceed
Case Officer Review Completed,Hybrid,IC-150835-X8K6,18/01/2022,2021/22,10-Jan,Q4,28/06/2022,2022/23,Q1,03-Jun,Online Technology and Telecoms,Infrastructure and hardware providers,Art 5 - Principles relating to processing of personal data,Go Daddy Europe Limited,Informal action taken,Infringement,More work for org - contacted to raise awareness of ind complaint
Completed,Hybrid,IC-166654-L7C4,14/04/2022,2022/23,01-Apr,Q1,28/06/2022,2022/23,Q1,03-Jun,Online Technology and Telecoms,Service providers,Art 21(1) - Objection to processing,Google LLC,No Further Action,No infringement,No action
Completed,Hybrid,IC-164137-W1V3,28/03/2022,2021/22,12-Mar,Q4,28/06/2022,2022/23,Q1,03-Jun,Online Technology and Telecoms,Search engines,Art 15 - Right of access,Google UK Limited,No Further Action,No infringement,No action
Completed,Hybrid,IC-162584-K4Q1,22/03/2022,2021/22,12-Mar,Q4,28/06/2022,2022/23,Q1,03-Jun,General business,Recruitment agencies,Art 15 - Right of access,Green 360 Ltd,No Further Action,No action,Insufficient information to proceed
Completed,Hybrid,IC-163219-P7J0,28/03/2022,2021/22,12-Mar,Q4,28/06/2022,2022/23,Q1,03-Jun,General business,Recruitment agencies,Art 17 - Right to erasure,Hamlyn Williams,Informal action taken,Infringement,More work for org - failed to respond to ind complaint
Completed,Hybrid,IC-163649-X7H2,21/03/2022,2021/22,12-Mar,Q4,28/06/2022,2022/23,Q1,03-Jun,Education and childcare,Community School,Art 15(3)(1) - Provide a copy of the personal data,Hartford Primary School,No Further Action,No infringement,Good practice advice provided
Review Completed,Hybrid,IC-76242-P5D7,15/09/2020,2020/21,06-Sep,Q2,28/06/2022,2022/23,Q1,03-Jun,Land or property services,Unassigned,Art 15 - Right of access,Hawkins Group Of Companies Limited,No Further Action,No action,Insufficient information to proceed
Review Completed,Hybrid,IC-42751-L3P6,13/06/2020,2020/21,03-Jun,Q1,28/06/2022,2022/23,Q1,03-Jun,Central Government,Government Department,Art 5(1)(f) - Integrity and confidentiality principle,HM Revenue and Customs (HMRC),Informal action taken,Infringement,More work for org - contacted to raise awareness of ind complaint
Completed,Hybrid,IC-165029-Z9B3,07/04/2022,2022/23,01-Apr,Q1,28/06/2022,2022/23,Q1,03-Jun,General business,Supplier of services,Art 15(3)(1) - Provide a copy of the personal data,hold & ing Limited,No Further Action,No action,Insufficient information to proceed
Completed,Hybrid,IC-169786-G8G2,07/05/2022,2022/23,02-May,Q1,28/06/2022,2022/23,Q1,03-Jun,"Finance, insurance and credit",Banks and Building Societies,Art 16 - Right to rectification,HSBC Bank PLC,No Further Action,No action,Insufficient information to proceed
Completed,Hybrid,IC-167933-H9Y2,27/04/2022,2022/23,01-Apr,Q1,28/06/2022,2022/23,Q1,03-Jun,"Finance, insurance and credit",Banks and Building Societies,Art 15 - Right of access,HSBC Holdings plc,No Further Action,No action,Insufficient information to proceed
Completed,Hybrid,IC-161912-H5L8,21/03/2022,2021/22,12-Mar,Q4,28/06/2022,2022/23,Q1,03-Jun,Retail and manufacture,Supplier of goods,Art 6 - Lawfulness of processing,Ikea Limited,No Further Action,No infringement,No action
Completed,Hybrid,IC-147735-Y0L9,15/12/2021,2021/22,09-Dec,Q3,28/06/2022,2022/23,Q1,03-Jun,Central Government,Non-departmental public body,Art 5 - Principles relating to processing of personal data,Independent Office for Police Conduct (IOPC),Informal action taken,Infringement,More work for org - unsatisfactory response to ind complaint
Completed,Hybrid,IC-148368-H8L6,31/12/2021,2021/22,09-Dec,Q3,28/06/2022,2022/23,Q1,03-Jun,Regulators,Regulatory Body,Art 17 - Right to erasure,Information Commissioners Office,Informal action taken,Infringement,More work for org - failed to respond to ind complaint
Completed,Hybrid,IC-165970-W7S1,13/04/2022,2022/23,01-Apr,Q1,28/06/2022,2022/23,Q1,03-Jun,Transport and leisure,Holiday providers and services,Art 32 - Security of processing,Inny Vale Village Ltd,No Further Action,No action,Insufficient information to proceed
Completed,Hybrid,IC-162592-L0P5,22/03/2022,2021/22,12-Mar,Q4,28/06/2022,2022/23,Q1,03-Jun,General business,Recruitment agencies,Art 15 - Right of access,Itecco Limited,Informal action taken,Potential infringement,More work for org - failed to respond to ind complaint
Completed,Hybrid,IC-171792-Z7S5,18/05/2022,2022/23,02-May,Q1,28/06/2022,2022/23,Q1,03-Jun,Retail and manufacture,Supplier of goods,Art 16 - Right to rectification,John Lewis Partnership Plc,No Further Action,No action,Insufficient information to proceed
Completed,Hybrid,IC-161321-K2T0,16/03/2022,2021/22,12-Mar,Q4,28/06/2022,2022/23,Q1,03-Jun,General business,Private Investigators,Art 15(3)(1) - Provide a copy of the personal data,K2 Intelligence Limited,Informal action taken,Infringement,More work for org - unsatisfactory response to ind complaint
Completed,Hybrid,IC-161632-K6T7,18/03/2022,2021/22,12-Mar,Q4,28/06/2022,2022/23,Q1,03-Jun,Political,Political Party,Art 32 - Security of processing,Labour Party,Informal action taken,Infringement,More work for org - contacted to raise awareness of ind complaint
Completed,Hybrid,IC-161670-Y3M8,18/03/2022,2021/22,12-Mar,Q4,28/06/2022,2022/23,Q1,03-Jun,Retail and manufacture,Supplier of goods,Art 32 - Security of processing,Landywoods Ltd,Informal action taken,Infringement,More work for org - failed to respond to ind complaint
Case Officer Review Completed,Hybrid,IC-145909-Q4X2,14/12/2021,2021/22,09-Dec,Q3,28/06/2022,2022/23,Q1,03-Jun,Online Technology and Telecoms,Software developers,Art 15(3)(1) - Provide a copy of the personal data,Lawdeck Limited,Informal action taken,Infringement,More work for org - unsatisfactory response to ind complaint
Completed,Hybrid,IC-160301-S7G2,10/03/2022,2021/22,12-Mar,Q4,28/06/2022,2022/23,Q1,03-Jun,General business,Supplier of services,Art 16 - Right to rectification,LEARNDIRECT LIMITED,Informal action taken,Infringement,Unassigned
Completed,Hybrid,IC-166009-K2R8,13/04/2022,2022/23,01-Apr,Q1,28/06/2022,2022/23,Q1,03-Jun,Legal,Legal professionals,Art 5(1)(f) - Integrity and confidentiality principle,Leigh Day,Informal action taken,Infringement,More work for org - unsatisfactory response to ind complaint
Completed,Hybrid,IC-161078-V1Q0,14/03/2022,2021/22,12-Mar,Q4,28/06/2022,2022/23,Q1,03-Jun,"Finance, insurance and credit",Banks and Building Societies,Art 15(3)(1) - Provide a copy of the personal data,Lloyds Banking Group PLC,No Further Action,No action,Insufficient information to proceed
Completed,Hybrid,IC-158405-L3H1,28/02/2022,2021/22,11-Feb,Q4,28/06/2022,2022/23,Q1,03-Jun,Education and childcare,Maintained schools,"Art 5(1)(a) - Lawfulness, fairness and transparency principle",Long Lawford Primary School,No Further Action,No action,Insufficient information to proceed
Completed,Hybrid,IC-157380-C0Z1,22/02/2022,2021/22,11-Feb,Q4,28/06/2022,2022/23,Q1,03-Jun,Education and childcare,Unassigned,Art 15(3)(1) - Provide a copy of the personal data,Maghera Primary School,No Further Action,No infringement,Good practice advice provided
Case Officer Review Completed,Hybrid,IC-150271-V3G9,12/01/2022,2021/22,10-Jan,Q4,28/06/2022,2022/23,Q1,03-Jun,"Finance, insurance and credit",Financial services and advice,Art 16 - Right to rectification,Markerstudy Insurance Services Limited,Informal action taken,Potential infringement,More work for org - unsatisfactory response to ind complaint
Case Officer Review Completed,Hybrid,IC-154202-X5B4,03/02/2022,2021/22,11-Feb,Q4,28/06/2022,2022/23,Q1,03-Jun,Retail and manufacture,Manufacturing,"Art 5(1)(a) - Lawfulness, fairness and transparency principle",Marshalls Mono Ltd,No Further Action,No infringement,No action
Completed,Hybrid,IC-160683-Q4W6,14/03/2022,2021/22,12-Mar,Q4,28/06/2022,2022/23,Q1,03-Jun,"Finance, insurance and credit",Debt collection/tracing,Art 15(3)(1) - Provide a copy of the personal data,MBNA Limited,No Further Action,No action,Insufficient information to proceed
Completed,Hybrid,IC-160848-X5S0,14/03/2022,2021/22,12-Mar,Q4,28/06/2022,2022/23,Q1,03-Jun,"Finance, insurance and credit",Debt collection/tracing,Art 15(3)(1) - Provide a copy of the personal data,MBNA Limited,No Further Action,No action,Insufficient information to proceed
Completed,Hybrid,IC-167901-F1Y6,26/04/2022,2022/23,01-Apr,Q1,28/06/2022,2022/23,Q1,03-Jun,"Finance, insurance and credit",Debt collection/tracing,Art 5(1)(f) - Integrity and confidentiality principle,MBNA Limited,Informal action taken,Potential infringement,More work for org - failed to respond to ind complaint
Review Completed,Hybrid,IC-154869-G4L9,08/02/2022,2021/22,11-Feb,Q4,28/06/2022,2022/23,Q1,03-Jun,Retail and manufacture,Supplier of services,Art 6(1)(f) - Legitimate interests,Medivet Group Limited,No Further Action,No infringement,No action
Completed,Hybrid,IC-156019-P0Z4,15/02/2022,2021/22,11-Feb,Q4,28/06/2022,2022/23,Q1,03-Jun,Online Technology and Telecoms,Social media,Art 6 - Lawfulness of processing,Meta Platforms Ireland Limited,No Further Action,No action,Insufficient information to proceed
Completed,Hybrid,IC-160148-H6N8,11/03/2022,2021/22,12-Mar,Q4,28/06/2022,2022/23,Q1,03-Jun,Central Government,Government Department,Prt 3 - S45(1)(b) - Access to PD ,Ministry of Justice (MoJ),Informal action taken,Potential infringement,More work for org - failed to respond to ind complaint
Case Officer Review Completed,Hybrid,IC-149113-Y0M3,07/01/2022,2021/22,10-Jan,Q4,28/06/2022,2022/23,Q1,03-Jun,Central Government,Government Department,Art 5(1)(d) - Accuracy principle,Ministry of Justice (MoJ),Informal action taken,Potential infringement,More work for org - contacted to raise awareness of ind complaint
